road_name,road_distance,route_name,bus_station,brt_station,peak_hours,average_speed,travel_time,fare,landmark_nearby,road_type,traffic_lights_count,route_type,congestion_level,passenger_capacity,alternative_routes,bus_station_location,brt_station_location,geojson_data
Ali Hassan Mwinyi Road,20.5,Route 3,Sinza,Mbezi,07:00-09:00,45,113,1500,Uhuru Stadium,Main Road,2,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.788553, 39.382679","-6.710429, 39.358612","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.382679, -6.788553]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 3', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Bagamoyo Road,20.5,Route 4,Sinza,Kariakoo,17:00-19:00,40,37,2000,Uhuru Stadium,Highway,2,Bus,Medium,50,Alt-Bagamoyo Road,"-6.820591, 39.239781","-6.894235, 39.352858","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.239781, -6.820591]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 4', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Morogoro Road,20.5,Route 20,Kariakoo,Mbezi,07:00-09:00,58,25,1500,Uhuru Stadium,Highway,4,Bus,Low,50,Alt-Morogoro Road,"-6.763952, 39.232356","-6.883746, 39.344283","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.232356, -6.763952]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 20', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 5,Tegeta,Magomeni,17:00-19:00,10,114,2000,Mlimani City Mall,Feeder Road,2,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.811688, 39.285249","-6.83986, 39.29675","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.285249, -6.811688]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 5', 'station': 'Tegeta', 'congestion_level': 'High'}}"
Nyerere Road,15.3,Route 17,Tegeta,Mbezi,17:00-19:00,24,93,1000,Mlimani City Mall,Main Road,2,Bus,Medium,50,Alt-Nyerere Road,"-6.862149, 39.392241","-6.888981, 39.332238","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.392241, -6.862149]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 17', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Nyerere Road,25.6,Route 15,Magomeni,Kivukoni,12:00-14:00,41,53,700,Mlimani City Mall,Feeder Road,0,Bus,Low,50,Alt-Nyerere Road,"-6.804504, 39.367388","-6.860611, 39.228578","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.367388, -6.804504]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 15', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 13,Mwenge,Magomeni,07:00-09:00,31,55,2000,Mlimani City Mall,Main Road,6,Bus,Medium,50,Alt-Morogoro Road,"-6.864894, 39.38125","-6.871149, 39.308133","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.38125, -6.864894]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 13', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,15.3,Route 8,Tegeta,Kivukoni,17:00-19:00,42,44,2000,Kariakoo Market,Feeder Road,1,Bus,Low,50,Alt-Sam Nujoma Road,"-6.727898, 39.342961","-6.718026, 39.293322","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.342961, -6.727898]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 8', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Nyerere Road,20.5,Route 15,Kimara,Gerezani,12:00-14:00,21,43,1000,Posta City Center,Highway,6,Bus,Medium,50,Alt-Nyerere Road,"-6.71818, 39.360215","-6.734773, 39.357754","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.360215, -6.71818]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 15', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 12,Mwenge,Kimara,12:00-14:00,38,94,700,Mlimani City Mall,Feeder Road,5,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.71953, 39.351891","-6.884953, 39.281814","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.351891, -6.71953]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Bagamoyo Road,15.3,Route 1,Kariakoo,Kimara,17:00-19:00,41,103,1000,Kariakoo Market,Feeder Road,2,Bus,Low,50,Alt-Bagamoyo Road,"-6.851357, 39.214077","-6.776966, 39.283067","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.214077, -6.851357]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 1', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Sam Nujoma Road,12.2,Route 15,Mbagala,Kivukoni,17:00-19:00,26,97,2000,Mlimani City Mall,Highway,8,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.718592, 39.269439","-6.705386, 39.250589","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.269439, -6.718592]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 15', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,25.6,Route 1,Tegeta,Kivukoni,12:00-14:00,26,106,1500,Posta City Center,Feeder Road,4,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.737222, 39.263881","-6.739092, 39.32364","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.263881, -6.737222]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 1', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 11,Tegeta,Gerezani,12:00-14:00,47,80,1500,National Stadium,Highway,8,Bus,Low,50,Alt-Nyerere Road,"-6.810608, 39.319694","-6.767253, 39.240945","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.319694, -6.810608]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 11', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Nyerere Road,12.2,Route 18,Tegeta,Ubungo,12:00-14:00,55,12,1000,Posta City Center,Main Road,3,Bus,Low,50,Alt-Nyerere Road,"-6.82652, 39.216916","-6.778698, 39.379126","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.216916, -6.82652]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 18', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Nyerere Road,18.7,Route 9,Tegeta,Magomeni,12:00-14:00,10,17,1000,Kariakoo Market,Main Road,0,Bus,High,50,Alt-Nyerere Road,"-6.720344, 39.384582","-6.873304, 39.399714","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.384582, -6.720344]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 9', 'station': 'Tegeta', 'congestion_level': 'High'}}"
Sam Nujoma Road,20.5,Route 4,Mwenge,Ubungo,17:00-19:00,20,89,700,Posta City Center,Highway,7,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.800101, 39.25195","-6.802513, 39.262749","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.25195, -6.800101]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 4', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,12.2,Route 19,Magomeni,Kariakoo,17:00-19:00,44,43,700,Uhuru Stadium,Main Road,5,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.703, 39.344568","-6.836888, 39.261414","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.344568, -6.703]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 19', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Sam Nujoma Road,12.2,Route 11,Tegeta,Mbezi,07:00-09:00,57,63,2000,National Stadium,Feeder Road,1,Bus,Low,50,Alt-Sam Nujoma Road,"-6.79689, 39.259789","-6.730571, 39.227289","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.259789, -6.79689]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 11', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 9,Magomeni,Kariakoo,17:00-19:00,18,99,500,National Stadium,Feeder Road,1,Bus,High,50,Alt-Morogoro Road,"-6.800489, 39.353231","-6.758261, 39.212536","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.353231, -6.800489]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 9', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Nyerere Road,20.5,Route 17,Sinza,Gerezani,07:00-09:00,39,18,500,Mlimani City Mall,Main Road,4,Bus,Medium,50,Alt-Nyerere Road,"-6.770599, 39.290801","-6.720637, 39.285725","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.290801, -6.770599]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 17', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Nyerere Road,25.6,Route 4,Kariakoo,Gerezani,07:00-09:00,19,49,2000,Uhuru Stadium,Feeder Road,8,Bus,High,50,Alt-Nyerere Road,"-6.702655, 39.388279","-6.785783, 39.285253","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.388279, -6.702655]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 4', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Sam Nujoma Road,18.7,Route 11,Sinza,Kimara,12:00-14:00,25,83,500,Kariakoo Market,Feeder Road,0,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.779313, 39.263778","-6.76202, 39.371615","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.263778, -6.779313]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 11', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 3,Ubungo,Magomeni,07:00-09:00,28,76,2000,National Stadium,Highway,8,Bus,Medium,50,Alt-Morogoro Road,"-6.732858, 39.359049","-6.707611, 39.212313","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.359049, -6.732858]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 3', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Bagamoyo Road,12.2,Route 20,Mbagala,Kivukoni,07:00-09:00,11,12,1000,Mlimani City Mall,Main Road,9,Bus,High,50,Alt-Bagamoyo Road,"-6.714377, 39.37106","-6.770151, 39.375738","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.37106, -6.714377]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 20', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Bagamoyo Road,12.2,Route 7,Mbagala,Kimara,12:00-14:00,16,24,700,Mlimani City Mall,Feeder Road,9,Bus,High,50,Alt-Bagamoyo Road,"-6.801015, 39.263382","-6.716008, 39.31127","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.263382, -6.801015]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 7', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,18.7,Route 16,Buguruni,Magomeni,17:00-19:00,47,14,2000,National Stadium,Highway,8,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.824882, 39.234355","-6.873687, 39.369622","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.234355, -6.824882]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 16', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 4,Kariakoo,Mbezi,07:00-09:00,22,97,1500,Kariakoo Market,Main Road,3,Bus,Medium,50,Alt-Morogoro Road,"-6.852651, 39.241951","-6.771072, 39.369474","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.241951, -6.852651]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 4', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 17,Mbagala,Kimara,07:00-09:00,54,68,2000,Uhuru Stadium,Feeder Road,0,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.892784, 39.24328","-6.792115, 39.388151","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.24328, -6.892784]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 17', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Bagamoyo Road,18.7,Route 19,Sinza,Kivukoni,12:00-14:00,18,45,700,National Stadium,Main Road,3,Bus,High,50,Alt-Bagamoyo Road,"-6.843182, 39.334641","-6.762697, 39.373081","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.334641, -6.843182]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 19', 'station': 'Sinza', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,18.7,Route 16,Kariakoo,Kivukoni,12:00-14:00,16,69,500,Posta City Center,Main Road,5,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.780788, 39.2333","-6.72521, 39.383364","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.2333, -6.780788]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 16', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Nyerere Road,18.7,Route 7,Posta,Kivukoni,07:00-09:00,18,101,700,Uhuru Stadium,Main Road,3,Bus,High,50,Alt-Nyerere Road,"-6.758224, 39.268119","-6.83959, 39.39152","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.268119, -6.758224]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 7', 'station': 'Posta', 'congestion_level': 'High'}}"
Nyerere Road,25.6,Route 20,Mwenge,Mbezi,07:00-09:00,18,45,700,National Stadium,Main Road,9,Bus,High,50,Alt-Nyerere Road,"-6.791693, 39.232225","-6.892862, 39.340798","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.232225, -6.791693]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 20', 'station': 'Mwenge', 'congestion_level': 'High'}}"
Morogoro Road,12.2,Route 1,Kimara,Ubungo,12:00-14:00,56,61,2000,National Stadium,Main Road,6,Bus,Low,50,Alt-Morogoro Road,"-6.766961, 39.331247","-6.876558, 39.344642","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.331247, -6.766961]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 1', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Nyerere Road,18.7,Route 13,Kariakoo,Kivukoni,07:00-09:00,49,48,1000,Posta City Center,Highway,8,Bus,Low,50,Alt-Nyerere Road,"-6.896106, 39.354881","-6.831619, 39.332068","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.354881, -6.896106]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 13', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Bagamoyo Road,25.6,Route 1,Magomeni,Ubungo,07:00-09:00,48,19,2000,National Stadium,Feeder Road,5,Bus,Low,50,Alt-Bagamoyo Road,"-6.777913, 39.329503","-6.782216, 39.297601","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.329503, -6.777913]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 1', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Bagamoyo Road,25.6,Route 12,Mbagala,Magomeni,17:00-19:00,50,117,500,Posta City Center,Feeder Road,2,Bus,Low,50,Alt-Bagamoyo Road,"-6.735121, 39.296272","-6.897541, 39.214016","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.296272, -6.735121]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 12', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 16,Buguruni,Ubungo,07:00-09:00,45,51,1500,Kariakoo Market,Main Road,6,Bus,Low,50,Alt-Sam Nujoma Road,"-6.777589, 39.316413","-6.749431, 39.232123","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.316413, -6.777589]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 16', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 19,Posta,Gerezani,17:00-19:00,26,99,700,National Stadium,Main Road,4,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.86179, 39.373401","-6.751899, 39.232508","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.373401, -6.86179]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 19', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Bagamoyo Road,20.5,Route 6,Sinza,Kimara,07:00-09:00,43,103,1500,National Stadium,Main Road,3,Bus,Low,50,Alt-Bagamoyo Road,"-6.889528, 39.386038","-6.790266, 39.293687","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.386038, -6.889528]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 6', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Sam Nujoma Road,25.6,Route 8,Sinza,Gerezani,07:00-09:00,20,70,700,Mlimani City Mall,Highway,8,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.838774, 39.225655","-6.703594, 39.287551","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.225655, -6.838774]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 8', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Bagamoyo Road,20.5,Route 9,Tegeta,Magomeni,12:00-14:00,49,95,2000,National Stadium,Highway,6,Bus,Low,50,Alt-Bagamoyo Road,"-6.709941, 39.226018","-6.756789, 39.241853","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.226018, -6.709941]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 9', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Nyerere Road,20.5,Route 1,Buguruni,Gerezani,12:00-14:00,30,64,500,Posta City Center,Main Road,2,Bus,Medium,50,Alt-Nyerere Road,"-6.798024, 39.233284","-6.870992, 39.204185","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.233284, -6.798024]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 1', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Bagamoyo Road,25.6,Route 11,Kariakoo,Magomeni,12:00-14:00,56,25,500,National Stadium,Highway,0,Bus,Low,50,Alt-Bagamoyo Road,"-6.769416, 39.362677","-6.868961, 39.298476","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.362677, -6.769416]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 11', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,15.3,Route 11,Kariakoo,Gerezani,17:00-19:00,54,75,700,Mlimani City Mall,Main Road,4,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.720915, 39.246959","-6.805809, 39.296095","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.246959, -6.720915]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 11', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Sam Nujoma Road,12.2,Route 17,Ubungo,Gerezani,07:00-09:00,34,47,2000,Uhuru Stadium,Feeder Road,5,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.70647, 39.345096","-6.758328, 39.212991","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.345096, -6.70647]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 17', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 19,Tegeta,Ubungo,12:00-14:00,25,19,700,National Stadium,Feeder Road,6,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.818374, 39.331719","-6.849012, 39.309298","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.331719, -6.818374]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 19', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 20,Posta,Gerezani,17:00-19:00,54,36,500,Kariakoo Market,Main Road,7,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.726649, 39.307763","-6.858567, 39.295252","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.307763, -6.726649]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 20', 'station': 'Posta', 'congestion_level': 'Low'}}"
Nyerere Road,20.5,Route 19,Magomeni,Mbezi,12:00-14:00,53,55,700,Kariakoo Market,Highway,0,Bus,Low,50,Alt-Nyerere Road,"-6.821359, 39.378964","-6.800055, 39.387375","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.378964, -6.821359]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 19', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 9,Ubungo,Magomeni,12:00-14:00,47,51,2000,Mlimani City Mall,Feeder Road,4,Bus,Low,50,Alt-Sam Nujoma Road,"-6.756214, 39.387688","-6.766899, 39.275901","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.387688, -6.756214]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 9', 'station': 'Ubungo', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 2,Posta,Gerezani,17:00-19:00,48,60,1000,Kariakoo Market,Feeder Road,7,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.750657, 39.223772","-6.739042, 39.231879","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.223772, -6.750657]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 2', 'station': 'Posta', 'congestion_level': 'Low'}}"
Sam Nujoma Road,12.2,Route 3,Kariakoo,Kivukoni,12:00-14:00,13,20,700,Mlimani City Mall,Highway,5,Bus,High,50,Alt-Sam Nujoma Road,"-6.783391, 39.325931","-6.770267, 39.31426","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.325931, -6.783391]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 3', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Bagamoyo Road,25.6,Route 17,Tegeta,Mbezi,17:00-19:00,40,17,1500,Kariakoo Market,Main Road,6,Bus,Medium,50,Alt-Bagamoyo Road,"-6.770109, 39.257803","-6.719223, 39.372189","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.257803, -6.770109]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 17', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 12,Kimara,Kimara,17:00-19:00,30,107,1500,Uhuru Stadium,Highway,8,Bus,Medium,50,Alt-Morogoro Road,"-6.812173, 39.360777","-6.779657, 39.303425","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.360777, -6.812173]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 12', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
